,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
228219,MCOU,XX,60505,2579,8,20134,ATORVASTAT,262377.001,8797,207977.65,206863.89,1113.76
228223,MCOU,XX,60505,2579,9,20134,ATORVASTAT,1231751.179,40725,1056444.8,1052403.83,4040.97
101368,FFSU,XX,60505,2579,8,20134,ATORVASTAT,248246.001,7440,130350.71,124784.32,5566.39
101372,FFSU,XX,60505,2579,9,20134,ATORVASTAT,897958,27239,474053.66,455540.29,18513.37
228219,MCOU,XX,60505,2579,8,20134,ATORVASTAT,262377.001,8797,207977.65,206863.89,1113.76
228223,MCOU,XX,60505,2579,9,20134,ATORVASTAT,1231751.179,40725,1056444.8,1052403.83,4040.97
101368,FFSU,XX,60505,2579,8,20134,ATORVASTAT,248246.001,7440,130350.71,124784.32,5566.39
101372,FFSU,XX,60505,2579,9,20134,ATORVASTAT,897958,27239,474053.66,455540.29,18513.37
228219,MCOU,XX,60505,2579,8,20134,ATORVASTAT,262377.001,8797,207977.65,206863.89,1113.76
228223,MCOU,XX,60505,2579,9,20134,ATORVASTAT,1231751.179,40725,1056444.8,1052403.83,4040.97
101368,FFSU,XX,60505,2579,8,20134,ATORVASTAT,248246.001,7440,130350.71,124784.32,5566.39
101372,FFSU,XX,60505,2579,9,20134,ATORVASTAT,897958,27239,474053.66,455540.29,18513.37
228219,MCOU,XX,60505,2579,8,20134,ATORVASTAT,262377.001,8797,207977.65,206863.89,1113.76
228223,MCOU,XX,60505,2579,9,20134,ATORVASTAT,1231751.179,40725,1056444.8,1052403.83,4040.97
101368,FFSU,XX,60505,2579,8,20134,ATORVASTAT,248246.001,7440,130350.71,124784.32,5566.39
101372,FFSU,XX,60505,2579,9,20134,ATORVASTAT,897958,27239,474053.66,455540.29,18513.37
228219,MCOU,XX,60505,2579,8,20134,ATORVASTAT,262377.001,8797,207977.65,206863.89,1113.76
228223,MCOU,XX,60505,2579,9,20134,ATORVASTAT,1231751.179,40725,1056444.8,1052403.83,4040.97
101368,FFSU,XX,60505,2579,8,20134,ATORVASTAT,248246.001,7440,130350.71,124784.32,5566.39
101372,FFSU,XX,60505,2579,9,20134,ATORVASTAT,897958,27239,474053.66,455540.29,18513.37
228219,MCOU,XX,60505,2579,8,20134,ATORVASTAT,262377.001,8797,207977.65,206863.89,1113.76
228223,MCOU,XX,60505,2579,9,20134,ATORVASTAT,1231751.179,40725,1056444.8,1052403.83,4040.97
101376,FFSU,XX,60505,2580,8,20134,ATORVASTAT,229159.5,7086,115735.56,111225.88,4509.68
101380,FFSU,XX,60505,2580,9,20134,ATORVASTAT,844599.16,25293,459182.64,441593.04,17589.6
228227,MCOU,XX,60505,2580,8,20134,ATORVASTAT,258017,8659,208582.24,207314.59,1267.65
228231,MCOU,XX,60505,2580,9,20134,ATORVASTAT,1234660,40753,1096395.38,1091211.88,5183.5
101376,FFSU,XX,60505,2580,8,20134,ATORVASTAT,229159.5,7086,115735.56,111225.88,4509.68
101380,FFSU,XX,60505,2580,9,20134,ATORVASTAT,844599.16,25293,459182.64,441593.04,17589.6
228227,MCOU,XX,60505,2580,8,20134,ATORVASTAT,258017,8659,208582.24,207314.59,1267.65
228231,MCOU,XX,60505,2580,9,20134,ATORVASTAT,1234660,40753,1096395.38,1091211.88,5183.5
101376,FFSU,XX,60505,2580,8,20134,ATORVASTAT,229159.5,7086,115735.56,111225.88,4509.68
101380,FFSU,XX,60505,2580,9,20134,ATORVASTAT,844599.16,25293,459182.64,441593.04,17589.6
228227,MCOU,XX,60505,2580,8,20134,ATORVASTAT,258017,8659,208582.24,207314.59,1267.65
228231,MCOU,XX,60505,2580,9,20134,ATORVASTAT,1234660,40753,1096395.38,1091211.88,5183.5
101376,FFSU,XX,60505,2580,8,20134,ATORVASTAT,229159.5,7086,115735.56,111225.88,4509.68
101380,FFSU,XX,60505,2580,9,20134,ATORVASTAT,844599.16,25293,459182.64,441593.04,17589.6
228227,MCOU,XX,60505,2580,8,20134,ATORVASTAT,258017,8659,208582.24,207314.59,1267.65
228231,MCOU,XX,60505,2580,9,20134,ATORVASTAT,1234660,40753,1096395.38,1091211.88,5183.5
101376,FFSU,XX,60505,2580,8,20134,ATORVASTAT,229159.5,7086,115735.56,111225.88,4509.68
101380,FFSU,XX,60505,2580,9,20134,ATORVASTAT,844599.16,25293,459182.64,441593.04,17589.6
228227,MCOU,XX,60505,2580,8,20134,ATORVASTAT,258017,8659,208582.24,207314.59,1267.65
228231,MCOU,XX,60505,2580,9,20134,ATORVASTAT,1234660,40753,1096395.38,1091211.88,5183.5
101376,FFSU,XX,60505,2580,8,20134,ATORVASTAT,229159.5,7086,115735.56,111225.88,4509.68
101380,FFSU,XX,60505,2580,9,20134,ATORVASTAT,844599.16,25293,459182.64,441593.04,17589.6
228227,MCOU,XX,60505,2580,8,20134,ATORVASTAT,258017,8659,208582.24,207314.59,1267.65
228231,MCOU,XX,60505,2580,9,20134,ATORVASTAT,1234660,40753,1096395.38,1091211.88,5183.5
101681,FFSU,XX,60505,2671,8,20134,ATORVASTAT,35461,1079,19395.99,18906.43,489.56
101685,FFSU,XX,60505,2671,9,20134,ATORVASTAT,389144.5,11676,211175.13,202454.04,8721.09
228561,MCOU,XX,60505,2671,8,20134,ATORVASTAT,36733,1265,29109.72,28845.87,263.85
228565,MCOU,XX,60505,2671,9,20134,ATORVASTAT,564743,19212,525607.79,523522.57,2085.22
101681,FFSU,XX,60505,2671,8,20134,ATORVASTAT,35461,1079,19395.99,18906.43,489.56
101685,FFSU,XX,60505,2671,9,20134,ATORVASTAT,389144.5,11676,211175.13,202454.04,8721.09
228561,MCOU,XX,60505,2671,8,20134,ATORVASTAT,36733,1265,29109.72,28845.87,263.85
228565,MCOU,XX,60505,2671,9,20134,ATORVASTAT,564743,19212,525607.79,523522.57,2085.22
101681,FFSU,XX,60505,2671,8,20134,ATORVASTAT,35461,1079,19395.99,18906.43,489.56
101685,FFSU,XX,60505,2671,9,20134,ATORVASTAT,389144.5,11676,211175.13,202454.04,8721.09
228561,MCOU,XX,60505,2671,8,20134,ATORVASTAT,36733,1265,29109.72,28845.87,263.85
228565,MCOU,XX,60505,2671,9,20134,ATORVASTAT,564743,19212,525607.79,523522.57,2085.22
101681,FFSU,XX,60505,2671,8,20134,ATORVASTAT,35461,1079,19395.99,18906.43,489.56
101685,FFSU,XX,60505,2671,9,20134,ATORVASTAT,389144.5,11676,211175.13,202454.04,8721.09
228561,MCOU,XX,60505,2671,8,20134,ATORVASTAT,36733,1265,29109.72,28845.87,263.85
228565,MCOU,XX,60505,2671,9,20134,ATORVASTAT,564743,19212,525607.79,523522.57,2085.22
101681,FFSU,XX,60505,2671,8,20134,ATORVASTAT,35461,1079,19395.99,18906.43,489.56
101685,FFSU,XX,60505,2671,9,20134,ATORVASTAT,389144.5,11676,211175.13,202454.04,8721.09
228561,MCOU,XX,60505,2671,8,20134,ATORVASTAT,36733,1265,29109.72,28845.87,263.85
228565,MCOU,XX,60505,2671,9,20134,ATORVASTAT,564743,19212,525607.79,523522.57,2085.22
101681,FFSU,XX,60505,2671,8,20134,ATORVASTAT,35461,1079,19395.99,18906.43,489.56
101685,FFSU,XX,60505,2671,9,20134,ATORVASTAT,389144.5,11676,211175.13,202454.04,8721.09
228561,MCOU,XX,60505,2671,8,20134,ATORVASTAT,36733,1265,29109.72,28845.87,263.85
228565,MCOU,XX,60505,2671,9,20134,ATORVASTAT,564743,19212,525607.79,523522.57,2085.22
92451,FFSU,XX,55111,121,5,20134,ATORVASTAT,193041,6764,87878.76,84328.86,3549.9
92455,FFSU,XX,55111,121,90,20134,ATORVASTAT,456460,12290,185521.51,174509.27,11012.24
219257,MCOU,XX,55111,121,5,20134,ATORVASTAT,31453,1109,21133.3,20874.64,258.66
219261,MCOU,XX,55111,121,90,20134,ATORVASTAT,352385,11536,217134.93,214680.45,2454.48
92451,FFSU,XX,55111,121,5,20134,ATORVASTAT,193041,6764,87878.76,84328.86,3549.9
92455,FFSU,XX,55111,121,90,20134,ATORVASTAT,456460,12290,185521.51,174509.27,11012.24
219257,MCOU,XX,55111,121,5,20134,ATORVASTAT,31453,1109,21133.3,20874.64,258.66
219261,MCOU,XX,55111,121,90,20134,ATORVASTAT,352385,11536,217134.93,214680.45,2454.48
92451,FFSU,XX,55111,121,5,20134,ATORVASTAT,193041,6764,87878.76,84328.86,3549.9
92455,FFSU,XX,55111,121,90,20134,ATORVASTAT,456460,12290,185521.51,174509.27,11012.24
219257,MCOU,XX,55111,121,5,20134,ATORVASTAT,31453,1109,21133.3,20874.64,258.66
219261,MCOU,XX,55111,121,90,20134,ATORVASTAT,352385,11536,217134.93,214680.45,2454.48
92451,FFSU,XX,55111,121,5,20134,ATORVASTAT,193041,6764,87878.76,84328.86,3549.9
92455,FFSU,XX,55111,121,90,20134,ATORVASTAT,456460,12290,185521.51,174509.27,11012.24
219257,MCOU,XX,55111,121,5,20134,ATORVASTAT,31453,1109,21133.3,20874.64,258.66
219261,MCOU,XX,55111,121,90,20134,ATORVASTAT,352385,11536,217134.93,214680.45,2454.48
92459,FFSU,XX,55111,122,5,20134,ATORVASTAT,153752,5306,90727.09,88097.71,2629.38
