,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
57964,FFSU,XX,904.0,6291.0,61,20124.0,ATORVASTAT,1251.0,39.0,948.57,936.57,12.0
182950,MCOU,XX,904.0,6291.0,61,20122.0,ATORVASTAT,90.0,3.0,89.8,89.8,0.0
182951,MCOU,XX,904.0,6291.0,61,20123.0,ATORVASTAT,210.0,7.0,194.31,193.31,1.0
182952,MCOU,XX,904.0,6291.0,61,20124.0,ATORVASTAT,552.0,19.0,585.4,584.4,1.0
109151,FFSU,XX,63304.0,827.0,05,20122.0,ATORVASTAT,1320.0,40.0,3509.0,3508.0,1.0
109152,FFSU,XX,63304.0,827.0,05,20123.0,ATORVASTAT,6270.0,187.0,9308.53,9208.76,99.77
109153,FFSU,XX,63304.0,827.0,05,20124.0,ATORVASTAT,9913.0,279.0,9597.38,9458.33,139.05
109154,FFSU,XX,63304.0,827.0,90,20121.0,ATORVASTAT,238131.1,7585.0,721441.87,694320.83,27121.04
109155,FFSU,XX,63304.0,827.0,90,20122.0,ATORVASTAT,325959.0,10370.0,919348.27,888055.38,31292.89
109156,FFSU,XX,63304.0,827.0,90,20123.0,ATORVASTAT,392659.0,11956.0,520774.23,506439.41,14334.82
109157,FFSU,XX,63304.0,827.0,90,20124.0,ATORVASTAT,366808.0,11266.0,337031.39,327219.1,9812.29
230411,MCOU,XX,63304.0,827.0,5.0,20121.0,ATORVASTAT,600.0,20.0,1833.06,1833.06,0.0
230412,MCOU,XX,63304.0,827.0,5.0,20122.0,ATORVASTAT,3390.0,113.0,8763.02,8762.02,1.0
230413,MCOU,XX,63304.0,827.0,5.0,20123.0,ATORVASTAT,7650.0,255.0,6989.42,6985.42,4.0
230414,MCOU,XX,63304.0,827.0,5.0,20124.0,ATORVASTAT,13861.0,451.0,13095.61,13072.28,23.33
230415,MCOU,XX,63304.0,827.0,90.0,20121.0,ATORVASTAT,644679.961,21048.0,1832543.52,1827476.37,5067.15
230416,MCOU,XX,63304.0,827.0,90.0,20122.0,ATORVASTAT,788155.0009999999,26617.0,2072350.26,2014052.29,58297.97
230417,MCOU,XX,63304.0,827.0,90.0,20123.0,ATORVASTAT,680458.0009999999,22700.0,687028.69,683117.25,3911.44
230418,MCOU,XX,63304.0,827.0,90.0,20124.0,ATORVASTAT,562009.971,18591.0,467275.38,465497.1,1778.28
109158,FFSU,XX,63304.0,828.0,05,20122.0,ATORVASTAT,836.0,26.0,3277.19,3277.19,0.0
109159,FFSU,XX,63304.0,828.0,05,20123.0,ATORVASTAT,11099.0,326.0,24273.2,24129.49,143.71
109160,FFSU,XX,63304.0,828.0,05,20124.0,ATORVASTAT,15546.0,464.0,19171.27,18973.4,197.87
109161,FFSU,XX,63304.0,828.0,90,20121.0,ATORVASTAT,350381.0,12435.0,1701273.79,1659702.09,41571.7
109162,FFSU,XX,63304.0,828.0,90,20122.0,ATORVASTAT,448579.0,14202.0,1767657.27,1720986.86,46670.41
109163,FFSU,XX,63304.0,828.0,90,20123.0,ATORVASTAT,542727.0,16739.0,933459.17,912390.37,21068.8
109164,FFSU,XX,63304.0,828.0,90,20124.0,ATORVASTAT,496319.5,15298.0,561585.89,548125.08,13460.81
230419,MCOU,XX,63304.0,828.0,5.0,20121.0,ATORVASTAT,480.0,16.0,2228.18,2228.18,0.0
230420,MCOU,XX,63304.0,828.0,5.0,20122.0,ATORVASTAT,3958.0,132.0,15070.22,15070.22,0.0
230421,MCOU,XX,63304.0,828.0,5.0,20123.0,ATORVASTAT,14535.0,485.0,19153.48,19145.46,8.02
230422,MCOU,XX,63304.0,828.0,5.0,20124.0,ATORVASTAT,24199.0,801.0,32042.02,32039.02,3.0
230423,MCOU,XX,63304.0,828.0,90.0,20121.0,ATORVASTAT,818319.349,26972.0,3315102.54,3308320.65,6781.89
230424,MCOU,XX,63304.0,828.0,90.0,20122.0,ATORVASTAT,1056246.0,35654.0,3865405.96,3778750.72,86655.24
230425,MCOU,XX,63304.0,828.0,90.0,20123.0,ATORVASTAT,947444.0,31708.0,1416242.99,1411263.58,4979.41
230426,MCOU,XX,63304.0,828.0,90.0,20124.0,ATORVASTAT,742693.0,24620.0,876391.55,872665.31,3726.24
109165,FFSU,XX,63304.0,829.0,05,20121.0,ATORVASTAT,60.0,2.0,261.5,261.5,0.0
109166,FFSU,XX,63304.0,829.0,05,20122.0,ATORVASTAT,1024.0,33.0,4148.48,4148.48,0.0
109167,FFSU,XX,63304.0,829.0,05,20123.0,ATORVASTAT,9016.0,269.0,18002.68,17919.27,83.41
109168,FFSU,XX,63304.0,829.0,05,20124.0,ATORVASTAT,15648.0,460.0,18055.92,17828.51,227.41
109169,FFSU,XX,63304.0,829.0,90,20121.0,ATORVASTAT,410328.101,13042.0,1772657.38,1732324.86,40332.52
109170,FFSU,XX,63304.0,829.0,90,20122.0,ATORVASTAT,439416.001,13923.0,1733666.69,1694567.46,39099.23
109171,FFSU,XX,63304.0,829.0,90,20123.0,ATORVASTAT,527000.0,16125.0,898536.89,875154.91,23381.98
109172,FFSU,XX,63304.0,829.0,90,20124.0,ATORVASTAT,482721.5,14947.0,515175.57,501269.74,13905.83
230427,MCOU,XX,63304.0,829.0,5.0,20121.0,ATORVASTAT,180.0,6.0,789.1,789.1,0.0
230428,MCOU,XX,63304.0,829.0,5.0,20122.0,ATORVASTAT,2789.0,94.0,9675.34,9675.34,0.0
230429,MCOU,XX,63304.0,829.0,5.0,20123.0,ATORVASTAT,15960.0,534.0,21365.58,21358.58,7.0
